,Pressures,P_prime,P_star,WIDTH_sub,HEIGHT_sub,WIDTH_mem,THICKNESS_mem,WIDTH_device,HEIGHT_chamber,HEIGHT_device,Stalk_angle,mem_layer,Negative Pressure Adh Force,Pos Pressure Adh Force,Neutral Pressure Adh Force,switching_ratio
170,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,3.504984262,1.4769615314,15,4.1880510075,12.0071972857,21.7920283742,10,4.8540644646,2.4288568497,4.7189292908,1.9984975505
171,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.1339783086,2.0462313488,15,2.8945871808,13.3050518254,8.4063696905,10,4.8507041931,2.2801470757,4.5494980812,2.1273646095
172,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.7312594855,2.1301815752,15,8.7954450317,12.9970249105,25.2832638781,10,4.4533004761,1.9519531727,3.9563136101,2.2814586632
173,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,3.5853861466,0.5642916872,15,3.3348872265,13.3199653473,-24.0034346731,10,5.2341146469,2.3991208076,5.0841946602,2.1816803182
174,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.2953041381,2.8559218167,15,9.3315271703,11.7698113475,-24.3318305943,10,4.8129887581,2.0877053738,4.4580168724,2.3053965462
175,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,4.2547962491,2.8513169698,15,6.6119307204,13.2406054249,-23.0308000565,10,5.0762619972,2.4735622406,4.9011898041,2.0522071019
177,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,4.1732534549,1.4234766879,15,9.6149420426,13.4793721323,1.3110854762,10,4.9836807251,2.416778326,4.8293595314,2.062117436
178,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,9.9311122536,1.6210004369,15,8.028059146,11.2051398451,34.5363016807,10,3.7653386593,0.7946869731,2.6991891861,4.7381406601
179,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.3266565052,2.7060040601,15,3.0191452373,12.447204181,-33.0735039052,10,4.6963024139,1.8853074312,4.0744643211,2.4910008501
180,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,3.2822897928,0.9654211524,15,5.7202128308,12.3641232346,-22.0871113673,10,5.2195878029,2.4755454063,5.1333785057,2.1084597315
181,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.2732857874,2.0415615271,15,4.1747520601,11.0299487215,-44.605886092,10,4.770608902,1.5648509264,4.1251721382,3.0486027912
182,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.7957018212,2.5187145199,15,9.835747531,11.8452397353,-49.3063929475,10,4.8747730255,1.4584140778,4.1082959175,3.3425164361
